time_step,evacuated,remaining,fire_cells
1,0,100,0
2,1,99,0
3,3,97,0
4,3,97,0
5,3,97,0
6,4,96,0
7,4,96,0
8,4,96,0
9,4,96,0
10,4,96,0
11,4,96,0
12,4,96,0
13,4,96,0
14,5,95,0
15,5,95,2
16,5,95,3
17,5,95,5
18,6,94,7
19,6,94,10
20,6,94,15
21,6,94,19
22,6,94,26
23,7,93,30
24,7,93,37
25,7,93,47
26,7,93,53
27,8,92,57
28,8,92,61
29,8,92,67
30,8,92,74
31,9,91,81
32,9,91,92
33,9,91,100
34,9,91,111
35,10,90,123
36,11,89,137
37,13,87,151
38,13,87,167
39,13,87,181
40,13,87,190
41,13,87,197
42,13,87,217
43,13,87,233
44,13,87,251
45,14,86,269
46,14,85,284
47,15,84,293
48,16,83,314
49,16,83,333
50,17,82,354
51,17,82,372
52,17,82,388
53,18,78,407
54,18,77,427
55,18,77,445
56,18,75,467
57,18,75,492
58,18,75,513
59,18,75,528
60,18,74,543
61,18,74,559
62,18,74,579
63,19,72,599
64,20,70,616
65,21,69,636
66,21,69,645
67,21,69,657
68,22,68,671
69,22,68,682
70,22,68,693
71,22,68,709
72,22,68,724
73,23,66,735
74,23,66,751
75,25,64,767
76,25,64,781
77,25,63,798
78,26,62,813
79,26,62,829
80,26,61,844
81,26,61,852
82,26,61,864
83,26,61,881
84,26,61,896
85,26,61,913
86,26,61,924
87,26,61,939
88,26,61,956
89,27,60,966
90,29,58,980
91,29,58,993
92,29,58,1009
93,29,58,1022
94,30,57,1039
95,31,56,1060
96,31,56,1078
97,31,56,1094
98,32,54,1115
99,32,54,1124
100,32,54,1140
101,34,52,1155
102,34,52,1179
103,34,52,1192
104,34,52,1213
105,35,51,1234
106,35,51,1252
107,36,49,1273
108,36,49,1287
109,36,49,1297
110,37,48,1314
111,38,47,1330
112,38,44,1347
113,38,43,1363
114,38,42,1379
115,38,41,1396
116,39,39,1411
117,39,39,1429
118,39,39,1447
119,39,39,1464
120,39,39,1480
121,39,39,1489
122,40,38,1501
123,40,38,1515
124,40,38,1527
125,40,38,1541
126,40,37,1554
127,40,37,1569
128,40,37,1583
129,40,37,1597
130,40,37,1613
131,40,37,1623
132,40,37,1639
133,40,37,1660
134,40,37,1671
135,40,37,1683
136,40,37,1706
137,40,37,1723
138,40,36,1732
139,40,35,1746
140,40,33,1758
141,42,30,1769
142,42,30,1786
143,43,28,1806
144,43,27,1826
145,43,27,1842
146,44,26,1859
147,44,25,1881
148,44,25,1893
149,44,25,1907
150,44,25,1928
151,44,25,1939
152,44,25,1959
153,44,23,1978
154,44,23,1990
155,44,23,2009
156,44,23,2024
157,44,23,2040
158,44,23,2058
159,45,22,2075
160,45,22,2090
161,45,20,2106
162,45,20,2116
163,45,20,2128
164,45,18,2147
165,45,18,2167
166,45,16,2184
167,47,13,2200
168,47,11,2213
169,47,11,2232
170,47,11,2250
171,47,11,2260
172,47,11,2267
173,47,11,2275
174,47,11,2286
175,47,11,2298
176,49,9,2305
177,49,9,2311
178,49,9,2321
179,50,7,2324
180,50,7,2331
181,50,7,2336
182,52,5,2340
183,52,5,2344
184,52,5,2347
185,53,4,2353
186,54,3,2357
187,54,3,2361
188,54,3,2363
189,54,3,2368
190,54,3,2370
191,54,3,2371
192,54,3,2375
193,55,2,2381
194,56,1,2383
195,56,1,2386
196,56,1,2387
197,57,0,2387
